date,fund,return,growth_of_1,drawdown
2021-06-24,Combined Equal Weight,0.01693102791334944,1.6905996492927056,-0.07542571945695564
2021-06-25,Combined Equal Weight,-0.006932437710560354,1.6788796725304886,-0.08183527306560656
2021-06-28,Combined Equal Weight,0.0017426400271460007,1.681805355448602,-0.08023524246093705
2021-06-29,Combined Equal Weight,0.012414481983307893,1.7026840977332494,-0.06881683944958683
2021-06-30,Combined Equal Weight,0.0053687652260581194,1.7118254089081217,-0.06381753567813298
2021-07-01,Combined Equal Weight,-0.0033192767515803838,1.7061433866255684,-0.06692498436719374
2021-07-02,Combined Equal Weight,0.004263327713458632,1.7134172350089034,-0.06294697979431052
2021-07-06,Combined Equal Weight,-0.004212575069847086,1.7061993362804586,-0.06689438598635389
2021-07-07,Combined Equal Weight,-0.002181279266246696,1.7024776390441463,-0.06892974991542022
2021-07-08,Combined Equal Weight,-0.014100931368607792,1.6784711186993952,-0.08205870761121548
2021-07-09,Combined Equal Weight,0.015525252970304146,1.7045298074205526,-0.06780743683499169
2021-07-12,Combined Equal Weight,6.666012125694878e-06,1.7045411698369173,-0.06780122282806222
2021-07-13,Combined Equal Weight,-0.009426809800300117,1.6884727844320837,-0.07658888339653447
2021-07-14,Combined Equal Weight,-0.00025849365444602,1.6880363249316033,-0.07682757931062134
2021-07-15,Combined Equal Weight,-0.006653536534465437,1.676804913572166,-0.08296994073928898
2021-07-16,Combined Equal Weight,-0.011967131418521893,1.6567383688082247,-0.09394415997319683
2021-07-19,Combined Equal Weight,-0.02245957039543941,1.619528736787151,-0.11429378489447783
2021-07-20,Combined Equal Weight,0.002858625921950135,1.6241583636154737,-0.11176188214874483
2021-07-21,Combined Equal Weight,0.02260174203032803,1.6608671719663102,-0.0916861533475668
2021-07-22,Combined Equal Weight,0.004775657305063478,1.6687989044088511,-0.08734835769051086
2021-07-23,Combined Equal Weight,0.009348842887017787,1.684400243176197,-0.07881612087598056
2021-07-26,Combined Equal Weight,0.008748477236540465,1.6991361803608473,-0.070757164678796
2021-07-27,Combined Equal Weight,0.0027178679878509734,1.7037542081924495,-0.06823160532373662
2021-07-28,Combined Equal Weight,0.00635380484284413,1.7145795299314788,-0.06231133078523343
2021-07-29,Combined Equal Weight,0.008348407885710781,1.728893539199837,-0.0544831233048193
2021-07-30,Combined Equal Weight,0.00028231737218043683,1.7293816358806036,-0.05421618746483847
2021-08-02,Combined Equal Weight,-0.0004144954999887855,1.7286648149747679,-0.054608210599096485
2021-08-03,Combined Equal Weight,0.0028984554738739304,1.733675272970225,-0.051868034592151835
2021-08-04,Combined Equal Weight,-0.0006855822474707838,1.7324866959801977,-0.05251805703589496
2021-08-05,Combined Equal Weight,0.006763876655075017,1.7442050222983663,-0.04610940604077485
2021-08-06,Combined Equal Weight,0.0065574618304001945,1.7556425801564803,-0.03985430488050934
2021-08-09,Combined Equal Weight,0.006843418909327443,1.7676571777875436,-0.03328362567481935
2021-08-10,Combined Equal Weight,0.00839153195052591,1.7824905294725242,-0.025171394332573094
2021-08-11,Combined Equal Weight,0.01764108417771884,1.8139355949489355,-0.007974360841145667
2021-08-12,Combined Equal Weight,-0.0021356552001352367,1.8100616539628724,-0.010092985556082845
2021-08-13,Combined Equal Weight,0.017674559383084758,1.8420536961528837,0.0
2021-08-16,Combined Equal Weight,-0.008433254654068603,1.8265191882467582,-0.008433254654068634
2021-08-17,Combined Equal Weight,-0.015290825753124779,1.798590201604538,-0.02359512897974625
2021-08-18,Combined Equal Weight,-0.008506412839214213,1.7832906508211244,-0.031900831910864236
2021-08-19,Combined Equal Weight,0.0064703088836362815,1.7948290921612378,-0.025636931263336216
2021-08-20,Combined Equal Weight,0.010881405382754464,1.8143593551058053,-0.01503449172242799
2021-08-23,Combined Equal Weight,0.01204250674871781,1.836208789884266,-0.0031730379417411747
2021-08-24,Combined Equal Weight,-0.00947256705076925,1.8188151790028755,-0.012615548177852598
2021-08-25,Combined Equal Weight,0.003871308138151617,1.825856373007143,-0.008793078714029123
2021-08-26,Combined Equal Weight,-0.016122481497608716,1.7964190374160445,-0.024773793962763913
2021-08-27,Combined Equal Weight,0.021511232266741984,1.835062224578298,-0.0037954765320834527
2021-08-30,Combined Equal Weight,-0.006425248361791524,1.8232714940260408,-0.010196338014504924
2021-08-31,Combined Equal Weight,0.005361457888820467,1.833046887361148,-0.004889547362569413
2021-09-01,Combined Equal Weight,0.007531067699489176,1.8468516875662027,0.0
2021-09-02,Combined Equal Weight,0.007735529282360307,1.8611380628755474,0.0
2021-09-03,Combined Equal Weight,0.00486683591692592,1.870195916446308,0.0
2021-09-07,Combined Equal Weight,-0.03628095981293478,1.8023434135594048,-0.03628095981293478
2021-09-08,Combined Equal Weight,-0.0015716560248669775,1.7995107496746048,-0.03779559464872384
2021-09-09,Combined Equal Weight,-0.004756211936891716,1.7909518951664376,-0.04237204272718531
2021-09-10,Combined Equal Weight,-0.010110524390361902,1.7728444323483925,-0.0520541635460845
